,School,Director of admissions,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),Percent of new entrants providing GPA scores(Doctoral),Average undergraduate GPA(Doctoral),Percent of new entrants providing verbal GRE scores(Doctoral),Percent of new entrants providing quantitative GRE scores(Doctoral),Average GRE analytical writing score(Doctoral),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or nontenure track),Part-time faculty,Full-time faculty elected to the National Academy of Engineering,Total graduate engineering enrollment(Student Body),Enrollment (master's),Minority students (master's),International students (master's),Enrollment (Ph.D.),Minority students (Ph.D.),International students (Ph.D.),Financial aid director,Financial aid phone,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Mean TOEFL score of entering students,Average GRE score(Master's),Average GRE score(Doctoral),Student diversity (master's),Student diversity (Ph.D.),Countries most represented by international students(Student Body),Applicants (master's),Applicants (Ph.D.),Gender distribution of enrolled (master's),Gender distribution of enrolled (Ph.D.)
108,Embry-Riddle Aeronautical University, Megan Spurrell, 07/01, N/A, $50, $50, (386) 226-6176, graduate.admissions@erau.edu, Website, Website, Website, 42.6%, 33.3%, N/A, N/A, 23%, 23%, 3.4, N/A, N/A, 77%, 77%, 3.4, Yes,, 6, 328, 193, 27, 103, 5, 141, 130, 47.7%, 10%, 20.8%, 11, 81.8%, 0%, 54.5%, 95, 50, 14, 0, 328, 193, 15.5%, 31.6%, 103, 9.7%, 53.4%, N/A, (386) 226-6300," $18,756 per year"," $9,378 per year"," $28,134 per year"," $1,563 per credit"," $12,354", 23, 2.3, 3.5, 40.6%, 158, 1.1:1, 11," $16,999,160"," $182,787", 0%, 328, N/A,,,,,,,,,
109,Kansas State University, Claudia Petrescu, 08/01, 08/01, $65, $75, (785) 532-6191, grad@ksu.edu, Website, Website, Website, 63.6%, 48.8%, 94%, 3.35, 31%, 31%, 3.5, 74%, 3.38, 49%, 49%, 3.4, Yes,, 6.5, 364, 66, 116, 157, 25, 104, 64, 25%, 9.4%, 17.2%, 40, 72.5%, 10%, 22.5%, 114, 46, 11, 0, 364, 66, 42.4%, N/A, 157, 63.7%, N/A, Robert Gamez, (785) 532-6420,,,,," $9,986", 23, 2.4, 3.2, 56.6%, 159, 1.4:1, 40," $20,549,137"," $171,243", 0%, 364, N/A,,,,,,,,,
110,Louisiana State University--Baton Rouge, Dean James Spencer, 07/15, 07/15, $50, $50, (225) 578-2311, graddeanoffice@lsu.edu, Website, Website, Website, 95.4%, 93.8%, 70%, 3.32, 39%, 39%, 3.3, 17%, 3.64, 66%, 66%, 3.3, Yes,, 6.5, 612, 111, 157, 294, 50, 178, 114, 40.4%, 14%, 22.8%, 64, 70.3%, 6.3%, 21.9%, 139, 33, 17, 0, 612, 111, 12.6%, 45%, 294, 5.8%, 81.6%, Amy Marix, (225) 578-3103,,,,," $14,304", 23, 2.4, 3.2, 94.2%, 159, 2.1:1, 64," $22,397,000"," $152,361", 0%, 612,,,,,,,,,,
111,Mississippi State University (Bagley), Dr. Brien Henry, 06/01, 06/01, $60, $80, (662) 325-7400, gradapps@grad.msstate.edu, Website, Website, Website, 53.1%, 59%, 58%, 3.5, 9%, 9%, 3, 24%, 3.5, 18%, 18%, 4, Yes,, 4.5, 790, 149, 202, 205, 234, 144, 99, 31.3%, 40.4%, 29.3%, 45, 53.3%, 31.1%, 31.1%, 102, 50, 26, 0, 790, 149, 12.1%, 34.2%, 205, 6.8%, 67.3%, Paul McKinney, (662) 325-2450,,,,," $14,028", 23, 2.2, 3, 55.7%, 160, 2:1, 45," $52,609,866"," $473,963", 0%, 790,,,,,,,,,,
112,Naval Postgraduate School, Jessica Bawdon, N/A, N/A, N/A, N/A, (831) 656-1062, jessica.bawdon@nps.edu, N/A, Website, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, 940, 538, 353, 49, N/A, 470, 460, 6.3%, 23.5%, 18.3%, 10, N/A, 10%, 20%, 104, 139, 19, 0, 940, 538, 22.5%, 8.6%, 49, 12.2%, 6.1%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 23, 2.7, 3.5, N/A, N/A, 0.5:1, 10," $30,309,346"," $280,642", 0%, 940, N/A, N/A, N/A,,,, N/A, N/A,,
113,University of Miami," Richard Wilkinson, Interim", 03/22, 12/21, $85, $85, (305) 284-2404, Engineeringadmissions@miami.edu, Website, Website, Website, 71.7%, 54.9%, 23%, 3.64, 28%, 28%, 3.9, 24%, 3.49, 48%, 48%, 3.4, Yes,, 6.5, 232, 82, 16, 131, 3, 107, 69, 37.7%, 30.4%, 31.9%, 38, 50%, 21.1%, 28.9%, 59, 21, 23, 3, 232, 82, 23.2%, 36.6%, 131, 19.1%, 59.5%, Joanne Brown, (305) 284-5212," $2,213 per credit"," $2,213 per credit"," $2,213 per credit"," $2,213 per credit"," $22,140", 23, 2.3, 3, 67.3%, 157, 2.2:1, 38," $9,107,376"," $130,105", 5.1%, 232,,,,,,,,,,
114,West Virginia University (Statler), George Zimmerman, N/A, N/A, $60, $60, (304) 293-2121, graduateadmissions@mail.wvu.edu, Website, Website, N/A, 58.4%, 30.9%, 100%, 3.49, 43%, 43%, 3.6, 100%, 3.69, 41%, 41%, 3.3, Yes,, 6.5, 601, 235, 115, 218, 33, 196, 152, 31.6%, 10.5%, 25.7%, 44, 70.5%, 13.6%, 22.7%, 112, 34, 2, 0, 601, 235, 9.8%, 35.3%, 218, 6.4%, 68.3%, Sandra Oerly-Bennett, (304) 293-5242,,,,," $10,630", 22, 2.3, 2.9, 46.8%, 159, 1.9:1, 44," $21,802,659"," $200,024", 0%, 601,,,,,,,,,,
115,Oklahoma State University, Dr. Sheryl Tucker, 02/01, 02/01, $50, $75, (405) 744-6368, grad-i@okstate.edu, Website, Website, Website, 85.8%, 39.9%, 77%, 3.32, 47%, 47%, 3, 81%, 3.34, 52%, 52%, 3.1, Yes,, 6.5, 564, 142, 202, 188, 32, 150, 116, 44.8%, 13.8%, 22.4%, 34, 76.5%, 0%, 14.7%, 130, 17, 9, 0, 564, 142, 5.6%, 71.1%, 188, 2.1%, 93.1%, Chad Blew, (405) 744-6604,,,,," $11,540", 21, 2.4, 3.1, 73.6%, 156, 1.4:1, 34," $26,564,437"," $198,242", 0%, 564,,,,,,,,,,
116,University of Alabama, Landon Waid, N/A, N/A, $65, $80, (205) 348-5921, gradschool@ua.edu, Website, Website, Website, 52.9%, 52.7%, 5%, 3.53, 13%, 13%, 3.8, 14%, 3.37, 18%, 18%, 3.5, Yes,, 6.5, 650, 99, 158, 291, 102, 151, 115, 15.7%, 7%, 29.6%, 36, 63.9%, 2.8%, 8.3%, 147, 22, 8, 0, 650, 99, 10.1%, 14.1%, 291, 8.9%, 61.9%, Helen Allen, (205) 348-6756,,,,," $13,234", 21, 2.4, 2.9, 52.8%, 161, 2:1, 36," $35,213,162"," $242,849", 0%, 650,,,,,,,,,,
117,University of Arkansas--Fayetteville, Patricia Gamboa, 08/01, 08/01, $60, $60, (479) 575-4401, gradinfo@uark.edu, Website, Website, Website, 46.9%, 41.6%, 100%, 3.4, 31%, 31%, 3.6, 100%, 3.5, 77%, 77%, 3.7, Yes,, 6.5, 620, 126, 207, 198, 89, 188, 138, 16.7%, 22.5%, 22.5%, 50, 66%, 10%, 18%, 110, 19, 0, 0, 620, 126, 15.9%, 37.3%, 198, 10.1%, 64.1%, Phillip Blevins, (479) 575-7330,,,,," $11,942", 21, 2.3, 2.8, 44.4%, 158, 1.8:1, 50," $27,816,783"," $235,735", 0%, 620,,,,,,,,,,
118,University of California--Merced, Tomiko Hale, N/A, N/A, $120, $140, (209) 228-4586, engineering@ucmerced.edu, Website, Website, N/A, 52.3%, 27.6%, 100%, 3.1, 100%, 100%, 3.6, 100%, 3.4, 100%, 100%, 3.4, Yes,, 6.5, 240, 26, 1, 213, 0, 36, 13, 53.8%, 15.4%, 38.5%, 23, 60.9%, 0%, 34.8%, 57, 7, 5, 1, 240, 26, 42.3%, 30.8%, 213, 17.8%, 64.8%, Eric Cannon (209) 228-4405, (209) 228-4405,, N/A,, N/A," $8,650", 21, 2.1, 2.6, 35.3%, 157, 3.7:1, 23," $13,167,110"," $239,402", 1.8%, 240,,,,,, N/A,,,,
119,Utah State University, Jeff Sorensen, 02/28, 02/28, $50, $50, (866) 878-4723, graduateschool@usu.edu, Website, Website, Website, 61.1%, 42.9%, 100%, 3.47, 100%, 100%, 4, 100%, 3.56, 100%, 100%, 3.6, Yes,, 6, 369, 205, 0, 164, 0, 125, 100, 17%, 2%, 18%, 25, 40%, 4%, 20%, 93, 20, 0, 0, 369, 205, 6.8%, 10.7%, 164, 12.8%, 46.3%, Craig Whyte, (435) 797-0173,, N/A,, N/A," $6,049", 21, 2.2, 2.9, 54.8%, 159, 1.8:1, 25," $24,724,247"," $263,024", 0%, 369,,,,,,,,,,
120,Baylor University, Dr. Larry  Lyons, N/A, N/A, $50, $50, (254) 710-4060, Graduate_Admissions@baylor.edu, Website, Website, N/A, 50.9%, 76.3%, 11%, 3.58, 7%, 59%, 4, 22%, 3.49, 59%, 33%, 3.8, Yes,, 6.5, 131, 45, 0, 86, 0, 39, 30, 30%, 16.7%, 23.3%, 9, 66.7%, 11.1%, 0%, 45, 14, 6, 0, 131, 45, 17.8%, 28.9%, 86, 5.8%, 64%, Jeanetta Kucera, (254) 710-2611," $46,046 per year", N/A," $46,046 per year", N/A," $14,846", 20, 2.3, 3, 61.5%, 162, 1.9:1, 9," $4,553,998"," $99,000", 0%, 131,,,,,,,,,,
121,Oregon Health and Science University," Karina Nakayama, PhD", N/A, 12/15, $70, $70, (503) 418-9307, somgrad@ohsu.edu, Website, Website, N/A, N/A, 43.9%, 0%, N/A, N/A, N/A, N/A, 100%, 3.5, 25%, 25%, 4.5, Yes,, N/A, 69, N/A, N/A, 68, 1, 6, N/A, N/A, N/A, N/A, 6, 16.7%, 16.7%, 66.7%, 37, 12, 4, 0, 69, N/A, N/A, N/A, 68, 25%, 27.9%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 20, 2.1, 2.7, 43.9%, N/A, 1.8:1, 6," $15,869,033"," $428,893", 0%, 69,, N/A,, N/A,,,,, N/A,
122,SMU (Lyle), Sabrina Gonzalez, 11/15, 11/15, $75, $75, (214) 768-4395, srgonzalez@smu.edu, Website, Website, N/A, 68.9%, 50.9%, 100%, 3.05, 19%, 19%, 3, 100%, 3.53, 56%, 56%, 3, Yes,, 6.5, 854, 131, 565, 90, 68, 302, 279, 26.9%, 36.9%, 28.3%, 23, 78.3%, 8.7%, 17.4%, 57, 15, 63, 1, 854, 131, 17.6%, 55.7%, 90, 7.8%, 63.3%, Naomi Emmett, (214) 768-1501," $1,200 per credit"," $1,200 per credit"," $1,200 per credit"," $1,200 per credit"," $18,088", 20, 2.2, 3, 66.8%, 161, 1.6:1, 23," $6,936,075"," $115,601", 1.8%, 854,,,,,,,,,,
123,Temple University, Colleen Baillie, 06/01, 03/01, $60, $60, (215) 204-7800, gradengr@temple.edu, Website, Website, Website, 73.7%, 54.1%, 98%, 3.46, 20%, 20%, 3.5, 100%, 3.4, 80%, 80%, 3.4, Yes,, 6.5, 326, 71, 57, 182, 16, 89, 71, 52.1%, 16.9%, 29.6%, 18, 77.8%, 11.1%, 44.4%, 64, 47, 75, 0, 326, 71, 38%, 26.8%, 182, 7.7%, 70.9%, Emilie Van Trieste, (215) 204-2244,,,,," $16,076", 20, 2.2, 3, 62.9%, 159, 2.8:1, 18," $8,639,241"," $125,206", 0%, 326,,,,,,,,,,
124,Tulane University, Joseph Bull, N/A, N/A, $0, $0, (504) 314-7108, morgan@tulane.edu, Website, Website, N/A, 71.9%, 23.5%, 94%, 3.5, N/A, N/A, N/A, 96%, 3.3, N/A, N/A, N/A, No, N/A, N/A, 140, 27, 0, 113, 0, 49, 30, 3.3%, 10%, 40%, 19, 78.9%, 5.3%, 31.6%, 39, 11, 5, 0, 140, 27, 11.1%, 7.4%, 113, 15%, 55.8%, Janet Morgan, (504) 314-2910, N/A, N/A, N/A, N/A, N/A, 20, 2.3, 3.2, 34.1%, N/A, 2.9:1, 19," $7,584,612"," $194,477", 0%, 140, N/A, N/A, N/A,,,,,,,
125,Clarkson University, Daniel Capogna, N/A, N/A, $50, $50, (518) 631-9838, graduate@clarkson.edu, Website, Website, Website, 66.2%, 59.5%, 73%, 3.6, 28%, 28%, 4, 90%, 3.5, 46%, 46%, 3, Yes,, 6.5, 304, 83, 101, 115, 5, 98, 79, 17.7%, 12.7%, 22.8%, 19, 78.9%, 15.8%, 26.3%, 81, 10, 23, 0, 304, 83, 10.8%, 24.1%, 115, 5.2%, 72.2%, Kara Pitts, (315) 268-3707," $35,712 per year"," $1,488 per credit"," $35,712 per year"," $1,488 per credit"," $16,498", 19, 2.1, 3.3, 62.9%, 160, 1.4:1, 19," $5,696,834"," $72,112", 0%, 304, N/A,,,,,,,,,
126,Florida International University, Sarah Noppen, N/A, N/A, $30, $30, (305) 348-7861, gradadm@fiu.edu, Website, Website, N/A, 57.5%, 45.9%, 93%, 3.39, 9%, 9%, 3, 86%, 3.61, 39%, 39%, 3, Yes,, 6.5," 1,136", 341, 411, 366, 18, 463, 408, 49.3%, 43.4%, 31.6%, 55, 81.8%, 12.7%, 20%, 111, 70, 50, 0," 1,136", 341, 48.1%, 47.2%, 366, 21.6%, 72.7%, Francisco Valines, (305) 348-7272,,,,," $20,206", 19, 2.0, 2.7, 54.3%, 157, 3.3:1, 55," $34,820,277"," $319,452", 0%," 1,136", N/A,,,,,,,,,
127,University of Colorado--Denver, Kelly Santa Maria (Interim), 02/01, 02/01, $50, $75, (303) 315-2183, graduateadmissions@ucdenver.edu, Website, Website, Website, 37.9%, 26.8%, 72%, 3.14, 26%, 26%, 3, 77%, 3.24, 38%, 38%, 3.8, Yes,, 6.5, 491, 289, 102, 33, 67, 116, 101, 38.6%, 22.8%, 28.7%, 15, 40%, 26.7%, 40%, 49, 43, 42, 0, 491, 289, 17.6%, 46.7%, 33, 9.1%, 30.3%, Michelle Toro-Dietz, (303) 315-5969,,,,," $11,439", 19, 2.1, 2.8, 36.9%, 159, 0.7:1, 15," $10,531,165"," $210,623", 0%, 491,,,,,,,,,,
128,University of Massachusetts--Lowell (Francis), Shahram Haydari, N/A, N/A, $75, $75, (978) 934-2390, Graduate_Admissions@uml.edu, Website, Website, N/A, 85.6%, 38.7%, 93%, 3.4, 9%, 9%, 3.2, 54%, 3.4, 28%, 28%, 3.2, Yes,, 6.5," 1,124", 302, 499, 211, 112, 400, 358, 24.9%, 19.8%, 21.8%, 42, 59.5%, 2.4%, 40.5%, 121, 32, 74, 1," 1,124", 302, 17.5%, 38.4%, 211, 8.1%, 73%, Joyce McLaughlin, (978) 934-4226,,,,," $13,570", 19, 2.2, 3, 76.1%, 158, 1.7:1, 42," $31,272,815"," $269,593", 0.8%," 1,124",,,,,,,,,,
129,Virginia Commonwealth University, Gregory Triplett, 06/01, 01/15, $70, $70, (804) 828-9306, gradengr@vcu.edu, Website, Website, N/A, 76.4%, 47.3%, 81%, 3.3, 11%, 11%, 4.1, 62%, 3.7, 33%, 33%, 3.8, Yes,, 6.5, 322, 44, 93, 159, 26, 55, 32, 12.5%, 21.9%, 18.8%, 23, 56.5%, 13%, 13%, 89, 19, 6, 1, 322, 44, 22.7%, 34.1%, 159, 16.4%, 49.1%, Gregory Triplett, (804) 828-9306,,,,," $12,279", 19, 2.3, 2.8, 62.9%, 159, 1.8:1, 23," $25,971,243"," $291,812", 1.1%, 322,,,,,,,,,,
130,Boise State University, Dawn Ramirez, 01/15, 01/15, $65, $95, (208) 426-4723, graduatecollege@boisestate.edu, Website, Website, Website, 68.4%, 48.6%, 47%, 3.64, 26%, 26%, 4, 23%, 3.52, 30%, 30%, 4, Yes,, 6.5, 299, 65, 74, 132, 28, 55, 36, 47.2%, 11.1%, 16.7%, 19, 26.3%, 21.1%, 26.3%, 70, 16, 2, 0, 299, 65, 15.4%, 27.7%, 132, 14.4%, 48.5%, Kelley Christianson, (208) 426-1664,,,,," $11,018", 18, 2.2, 2.7, 57.8%, 160, 1.9:1, 19," $14,240,658"," $206,386", 0%, 299, N/A,,,,,,,,,
131,Howard University, LaTrice A. Byam, 01/15, 01/15, $75, $75, (202) 806-2702, hugsadmissions@howard.edu, Website, Website, N/A, 12.5%, 66.7%, 13%, 3.49, 25%, 25%, 4.5, 43%, 3.53, 38%, 38%, 3, Yes,, 6.5, 84, 11, 3, 58, 12, 11, 7, 28.6%, 71.4%, 42.9%, 4, 50%, 50%, 25%, 48, 4, 6, 1, 84, 11, 36.4%, 27.3%, 58, 20.7%, 31%, Robert T. Muhammad, (855) 490-2875," $33,084 per year"," $1,838 per credit"," $39,484 per year"," $2,812 per credit"," $18,196", 18, 2.3, 3, 51.7%, 152, 1.2:1, 4," $6,657,506"," $141,649", 2.1%, 84, N/A,,,,,,,,,
132,Indiana University-Purdue University--Indianapolis, Valerie Lim Diemer, 07/01, 01/02, $70, $70, (317) 278-4961, wvlim@iupui.edu, Website, Website, Website, 65.5%, 64.3%, 37%, 3.5, 11%, 15%, 3.4, 52%, 3.15, 11%, 15%, 3.4, Yes,, 6.5, 340, 117, 95, 44, 84, 169, 166, 62%, 3%, 24.1%, 3, 66.7%, 0%, 66.7%, 63, 9, 16, 0, 340, 117, 12%, 67.5%, 44, 6.8%, 81.8%, Marvin Smith, (317) 274-5924,,,,," $10,500", 18, 2.4, 3.4, 65.3%, 159, 0.7:1, 3," $5,966,604", N/A, 0%, 340,,,,,,,,,,
133,San Diego State University, N/A, 03/01, 12/15, $70, $70, (619) 594-6336, admissions@sdsu.edu, Website, Website, Website, 66.1%, 24%, 100%, 3.2, 100%, 100%, 3.5, 100%, 3.29, 100%, 100%, 3.5, Yes,, 6.5, 290, 109, 118, 63, N/A, 97, 94, 30.9%, 17%, 42.6%, 3, 33.3%, 0%, 66.7%, 71, 4, 59, 0, 290, 109, 33.9%, 40.4%, 63, 17.5%, 63.5%, Chip Pierce, (619) 594-5200,,,, N/A," $15,375", 18, 2.2, 3.1, 59.6%, 160, 0.9:1, 3," $5,746,666"," $84,510", 0%, 290,,,,,,,,,,
134,University of Louisville (Speed), Katherine Markuson, N/A, N/A, $65, $65, (502) 852-6278, spdgrad@louisville.edu, Website, Website, N/A, 79.5%, 38.1%, 86%, 3.24, 3%, 3%, 3.4, 44%, 3.62, 74%, 74%, 3.2, Yes,, 6.5, 727, 209, 348, 151, 19, 258, 235, 12.8%, 14.5%, 24.7%, 23, 82.6%, 0%, 13%, 90, 18, 36, 0, 727, 209, 25.8%, 6.7%, 151, 4.6%, 74.2%, Katherine Markuson, (502) 852-6278,,,,," $9,754", 18, 2.2, 3.2, 67.7%, 159, 1.7:1, 23," $12,931,112"," $142,100", 0%, 727,,,,,,,,,,
135,University of Maine, Scott G. Delcourt, N/A, N/A, $65, $65, (207) 581-3291, graduate@maine.edu, Website, Website, N/A, 63.4%, 42.4%, N/A, N/A, 19%, 19%, N/A, N/A, N/A, 50%, 50%, N/A, Yes,, 6.5, 275, 150, 48, 76, 1, 42, 31, 19.4%, 9.7%, 29%, 11, 90.9%, 0%, 27.3%, 69, 14, 9, N/A, 275, 150, 11.3%, 20%, 76, 9.2%, 51.3%, Connie Smith, (207) 581-1324,,,,," $14,526", 18, 2.0, 2.6, 56.8%, 160, 1.1:1, 11," $31,607,619"," $464,818", 0%, 275,,,,,,,,,,
136,University of Nevada--Reno, David Zeh, N/A, N/A, $60, $95, (775) 784-6869, gradadmissions@unr.edu, Website, Website, Website, 78.3%, 51%, 100%, 3.43, 62%, 62%, 3.7, 100%, 3.36, 85%, 85%, 3.4, Yes,, 6.5, 390, 95, 66, 192, 37, 100, 73, 42.5%, 60.3%, 20.5%, 27, 88.9%, 92.6%, 25.9%, 87, 26, 26, 0, 390, 95, 38.9%, 26.3%, 192, 6.3%, 75.5%, Tim Wolfe, (775) 784-4666,,,,," $10,350", 18, 2.1, 2.5, 63.6%, 159, 2.2:1, 27," $24,159,584"," $262,604", 0%, 390,,,,,,,,,,
137,University of North Texas, Angie Blank, 06/15, 06/15, $75, $75, (940) 565-2383, gograd@unt.edu, Website, Website, Website, 71.5%, 54.4%, 95%, 3.4, 32%, 32%, 2.8, 97%, 3.4, 43%, 43%, 3.3, Yes,, 6," 1,465"," 1,097", 125, 224, 19, 198, 174, 71.8%, 15.5%, 35.1%, 24, 79.2%, 8.3%, 25%, 90, 21, 41, 0," 1,465"," 1,097", 4.8%, 90.2%, 224, 7.1%, 79.9%, Ed Turney, (940) 565-2302,,,,," $8,684", 18, 1.9, 2.6, 70.6%, 160, 2.5:1, 24," $14,980,551"," $176,242", 0%," 1,465",,,,,,,,,,
138,University of Wyoming, Shelley Dodd, N/A, N/A, $50, $50, (307) 766-5160, why-wyo@uwyo.edu, Website, Website, N/A, 56.3%, 42.9%, 97%, 3.52, 55%, 55%, 3.9, 83%, 3.41, 52%, 52%, 3.5, Yes,, 6.5, 242, 63, 26, 122, 31, 66, 37, 43.2%, 5.4%, 18.9%, 29, 79.3%, 0%, 17.2%, 67, 19, 19, 0, 242, 63, 9.5%, 33.3%, 122, 1.6%, 69.7%, Debra Hintz, (307) 766-2116,,,,," $13,198", 18, 2.0, 2.6, 49.7%, 160, 1.8:1, 29," $18,569,691"," $261,545", 0%, 242,,,,,,,,,,
139,CUNY--City College (Grove), Ms. Celia Lloyd, 05/01, 05/01, $75, $75, (212) 650-6977, graduateadmissions@ccny.cuny.edu, Website, Website, Website, 67.2%, 35.3%, 89%, 3.32, 9%, 9%, 3.6, 92%, 3.63, 46%, 46%, 3.5, Yes,, N/A, 394, 114, 128, 145, 7, 117, 95, 23.2%, 24.2%, 33.7%, 22, 77.3%, 9.1%, 40.9%, 105, 3, 81, 0, 394, 114, 50%, 28.1%, 145, 22.1%, 53.8%, Arshaw Ramkaran, (212) 650-6656,,,,," $17,427", 17, 2.2, 2.6, 58.8%, 158, 1.4:1, 22," $29,822,872"," $271,117", 0%, 394, N/A,,,,,,,,,
140,Marquette University, Carl Wainscott, N/A, N/A, $50, $50, (414) 288-7137, mugs@mu.edu, Website, Website, Website, 73.9%, 63.1%, 83%, 3.33, 25%, 25%, 3.3, 58%, 3.35, 33%, 33%, 3.8, Yes, N/A, N/A, 277, 39, 85, 90, 63, 67, 55, 30.9%, 21.8%, 40%, 12, 75%, 0%, 25%, 59, 18, 27, 0, 277, 39, 5.1%, 35.9%, 90, 3.3%, 58.9%, Tom Marek, (414) 288-5325," $1,205 per credit"," $1,205 per credit"," $1,205 per credit"," $1,205 per credit", N/A, 17, 2.1, 2.9, 67.9%, 158, 1.5:1, 12," $11,974,823"," $190,077", 0%, 277, N/A,,,,,,,,,
141,Montana State University, Dr. Craig Ogilvie, N/A, N/A, $60, $60, (406) 994-4145, gradschool@montana.edu, Website, Website, Website, 69.2%, 32.5%, 61%, 3.39, 30%, 30%, 3.8, 44%, 3.56, 30%, 30%, 4, Yes,, 6.5, 241, 122, N/A, 119, N/A, 59, 49, 16.3%, 6.1%, 18.4%, 10, 50%, 0%, 30%, 76, 24, 25, 0, 241, 122, 9.8%, 19.7%, 119, 3.4%, 46.2%, James Broscheit, (406) 994-2845,, N/A,, N/A," $11,100", 17, 2.0, 2.8, 54.5%, 158, 1.6:1, 10," $18,311,828"," $217,998", 0%, 241,,,,,,,,,,
142,New Mexico State University, Norma Palmino, N/A, N/A, $40, $50, (575) 646-3121, admissions@nmsu.edu, Website, Website, N/A, 66.3%, 54.8%, 96%, 3.3, 29%, 29%, 3.1, 76%, 3.5, 48%, 48%, 3.2, Yes,, 6.5, 408, 119, 123, 138, 28, 142, 104, 27.9%, 60.6%, 21.2%, 38, 55.3%, 47.4%, 21.1%, 68, 3, 8, 1, 408, 119, 46.2%, 36.1%, 138, 17.4%, 71%, Vandeen McKenzie, (505) 646-4105,,,,," $11,407", 17, 2.0, 2.6, 62.1%, 157, 2:1, 38," $16,113,870"," $209,271", 1.5%, 408, N/A,,,,,,,,,
143,Santa Clara University, Ms. Stacey Tinker, 06/07, 06/07, $90, $90, (408) 554-4313, gradengineer@scu.edu, Website, Website, N/A, 59.5%, 54.5%, 79%, 3.35, 74%, 74%, 3.5, 71%, 3.54, 86%, 86%, 3.4, Yes, N/A, 6.5, 592, 371, 160, 25, 36, 236, 229, 52.4%, 76.4%, 36.7%, 7, 57.1%, 28.6%, 14.3%, 49, 22, 53, N/A, 592, 371, 16.7%, 77.1%, 25, 4%, 88%, Nan Merz, (408) 551-1000," $1,088 per credit"," $1,088 per credit"," $1,088 per credit"," $1,088 per credit"," $17,253", 17, 2.1, 2.9, 59.3%, 162, 0.5:1, 7," $1,690,114"," $35,211", 0%, 592,,,,,,,,,,
144,SUNY Polytechnic Institute, Alicia Foster, 07/01, 07/01, $60, $60, (315) 792-7347, graduate@sunypoly.edu, Website, Website, N/A, 50%, 38.7%, 100%, 3.35, N/A, N/A, N/A, 91%, 3.1, N/A, N/A, N/A, Yes,, 6.5, 77, 5, 4, 38, 30, 10, 2, 100%, 100%, 50%, 8, 25%, 12.5%, 50%, 24, 3, 0, 0, 77, 5, 40%, 20%, 38, 13.2%, 63.2%, Michael Alsheimer, (315) 792-7210,,,,," $16,162", 17, 1.9, 2.7, 39.7%, N/A, 1.6:1, 8," $11,530,816"," $480,451", 0%, 77,, N/A, N/A,,,,,,,
145,New Mexico Institute of Mining and Technology," Dr. Aly El-Osery, Graduate Dean", 01/15, 01/15, $65, $65, (575) 835-5513, graduate@nmt.edu, Website, Website, N/A, 75.8%, 68.3%, N/A, N/A, 38%, 38%, 3.4, N/A, N/A, 39%, 39%, 3.1, Yes,, 6, 220, 95, 70, 36, 19, 68, 61, 26.2%, 42.6%, 24.6%, 7, 71.4%, 0%, 0%, 55, 7, 12, 0, 220, 95, 45.3%, 14.7%, 36, 44.4%, 30.6%, Mr. Kenneth Aerts, (575) 835-5333,,,,," $8,518", 16, 1.9, 2.9, 73.9%, 157, 0.7:1, 7," $18,254,096"," $338,039", 0%, 220,,,,,,,,,,
146,North Carolina A&T State University, Matthew B McCullough, N/A, N/A, $60, $60, (336) 285-2373, grad@ncat.edu, Website, Website, N/A, 96.8%, 98.6%, 95%, 3.24, 18%, 18%, 3, 24%, 3.51, 93%, 93%, 3.3, Yes,, 6, 328, 120, 40, 87, 81, 80, 55, 43.6%, 41.8%, 36.4%, 25, 60%, 36%, 36%, 73, 15, 23, 0, 328, 120, 67.5%, 25.8%, 87, 42.5%, 52.9%, Sherri Avent, (336) 285-4015,,,,," $7,700", 16, 2.1, 3.2, 97.4%, 154, 1.2:1, 25," $8,439,737"," $114,051", 0%, 328,,,,,,,,,,
